node,conceptualized_node,node_type
目前請james 向FISAC提交需使用API的IP申請單。,"submission, api, authorization, application, approval",event
工作内容如下： Splunk升版完成,"upgrade, completion, update, implementation",event
滲透測試IP白名單修改,"testing, seepage, validation, verification, security",event
伺服器效能 正常,"normal, performance, operation",event
"處理工程師為 A人員, C人員 进行维护","maintenance, inspection, troubleshooting, support, servicing",event
KVstore凭证有效期检查并更新凭证,"validation, expiration, renewal, authentication, timeframe",event
伺服器效能 : 異常 - 自12/9左右開始CPU及磁碟用量明顯上升且已持續兩周，推測為FCB設定導致，目前已將設定還原，並持續觀察,"异常, 上升, 持续, 还原, 观察",event
Cyble ASM IP白名單更新,"update, whitelist, security, maintenance",event
請A同事再次申請檢測sailag使用者權限是否合規,"审查, 申请, 权限, 再次, 合规",event
狀態描述為設備接收狀態檢查,"receiving, status, inspection",event
處理工程師為 C人員 进行时间从 2025/11/10 09:30 至 2025/11/10 12:00,"maintenance, inspection, operation, calibration, downtime",event
<HTTP对外大量传输数据报表>调整於<HTTPS大量资料传输告警>排除特定URL改由报表寄送,"transmission, alert, reporting, url, security",event
B部門 1.FISAC資料收容-進行中,"storing, processing, documentation, assembly, management",event
"處理工程師為 A人員,C人員 進行時間為 2025/11/21 09:30 至 2025/11/21 17:00","training, mentoring, collaboration, engineering, scheduling",event
建议扩充授权用量至150 GB,"scaling, authorization, storage, expansion",event
A人員進行F客戶的維護紀錄,"maintenance, documentation, servicing, recordkeeping",event
新增index与HEC token for XSOAR,"indexing, tokenization, integration, automation, functionality",event
狀態描述 (Description): splunk憑證跟換,"renewal, switching, certification, transition, update",event
處理工程師為 B人員 进行时间,"processing, time management, training, operation, maintenance",event
3. 新增index 與 HEC token for XSOAR,"indexing, automation, integration, security, tokenization",event
一年以上情报对比VirusTotal,"comparison, monitoring, analysis, intelligence, surveillance",event
處置動作 (Action): 1.授權用量：建議擴充 -授權量：285GB -平均授權用量：635.27GB,"authorization, expansion, usage, allocation",event
3. FWD03 底層資料收容,"storage, containment, data, 底层, 底層",event
狀態描述 (Description): splunk_B客戶B部門10月月維護,"maintenance, update, inspection, support, servicing",event
進行本月月維護,"maintenance, updating, servicing",event
建議擴充授權用量至 375 GB,"expansion, authorization, storage, increase, capacity",event
待完成工作項目： 1.CEF outputs套件新增debug log資料蒐集,"logging, debugging, data collection, cef output, monitoring",event
授权用量建议扩充至150 GB,"scaling, authorization, data, expansion, recommendation",event
2026年國定假日列表更新,"holiday, update, schedule, national holiday",event
已在172.18.44.33(DEP02)主機上新增使用者 sailag，並套用先前信件附件中的權限設定 請A同事再次申請檢測sailag使用者權限是否合規,"user management, authorization, verification, compliance",event
B人員在2025/10/01 13:30 至 2025/10/01 17:30進行維護工作,"maintenance, repair, inspection, downtime",event
處置動作 (Action): 4.版本更新 : 建議更新 當前版本：9.3.3/2025.02.26 最新版本：10.0.2/2025.11.14,"update, upgrade, version, recommendation, improvement",event
本日駐點工作內容如下： A部門 3.SH KVstore引擎異常測試-進行中 正在個人的測試環境測試SH 的KVstore狀態中。,"testing, anomaly, verification, environment, operation",event
將Gitlab升級至18.5.2版本,"upgrade, version, maintenance, update, software",event
E客户进行了定保,"maintenance, service, 保养, 检查, 保障",event
A人員為B客戶進行維護,"service, maintenance, inspection, repair, support",event
處置動作 (Action): 4.版本更新：建議先擴充授權使用量，再進行版本升級,"expansion, upgrade, authorization, enhancement",event
4.一年以上情資比對VirusTotal (進行中),"comparison, analysis, monitoring, security, scanning",event
處置動作 (Action): 本周工作項目如下: 1. 更新geodb 2. 完成本月維護作業 3. 一年以上情資比對VirusTotal (進行中),"updating, maintenance, comparison, antivirus, information, yearlong",event
今日到場作業事項為： 更換SPLUNK內部與網頁憑證，並修改SPLUNK中的憑證路徑,"certification, update, configuration, security, path更改",event
建議擴充 授權用量,"expansion, authorization, enhancement, permissions",event
代辦事項：7.DEP02 root服务确认,"confirmation, verification, validation",event
<HTTPS大量傳輸告警>調整 排除m365網址，並新建立報表 <每日HTTP資料傳輸統計報表(m365): daily report> 單獨發送m365傳輸紀錄,"adjusting, monitoring, reporting, isolation, transmission",event
檢查各台主機KV store 憑證效期(B部門),"checking, expiration, validation, hosts, management",event
Splunk Indexer queue full -20251215 處置動作 (Action): 工作項目： 暫時認定原因為bucket replication造成， 採取workaround，先將RF/SF調至1/1，並將所有資料往單一IDX進行拋送,"queue full, replication, workaround, indexing, bucket",event
检查各台主机KV store凭证有效期(B部门),"checking, validity, credentials, hosts, maintenance",event
自12/9左右開始CPU及磁碟用量明顯上升且已持續兩周，推測為FCB設定導致,"cpu usage, disk activity, fcb setting, monitoring, storage, performance",event
Indexer 索引同步状态确认为正常。,"sync, confirmation, normal",event
系统优化建议：有10台UF超出预设传输上限，已派送套件完成调整,"optimization, adjustment, exceeding, dispatch, maintenance",event
进行时间从 2025/11/10 09:30 至 2025/11/10 12:00 的维护,"maintenance, update, upgrade, service",event
狀態描述 (Description): Splunk駐點服務20251226 - websense 斷行確認,"monitoring, confirmation, maintenance, service, verification",event
狀態描述 (Description): E客戶駐點工作事項 - 20251204,"work, inspection, maintenance, support, documentation",event
狀態描述 (Description): Splunk監控主機系統移轉與VM化服務(09-11)季維護DN20230083_(10/12),"monitoring, migration, vmization, maintenance, service",event
B部門 的SH KVstore引擎異常測試進行中,"testing, anomaly, performance, validation, debugging",event
處置動作 (Action): 本周工作項目如下: 1.更新geodb 2.完成本月維護作業 3.一年以上情資比對VirusTotal (進行中),"updating, maintenance, comparison, security, information, virus",event
由於FCB設定資料永久保存占用磁碟空間，目前已將資料收進splunk，下周確認資料內容後再討論後續處理方式,"data storage, archiving, analysis, review, management",event
E客户驻点工作事项,"客户服务, 工作, 驻点, 沟通, 协调",event
B人員在2026/01/13從13:30至17:30進行了時間處理,"time management, processing, scheduling, interval, operation",event
狀態描述 (Description): Splunk每週onsite 處置動作 (Action): 本日駐點工作內容如下：,"on-site, maintenance, monitoring, troubleshooting, support",event
系統優化建議：無,"optimization, improvement, recommendation, efficiency",event
A部門 KVstore 憑證效期檢查,"verification, expiration, certification, validation, check",event
正在個人的測試環境測試SH 的KVstore狀態中,"testing, validation, status, environment, assessment",event
DEP02 移轉 计划在下周进行,"transfer, plan, next week, relocation, movement",event
處理工程師為 B人員 进行时间维护,"maintenance, timekeeping, servicing, calibration, adjustment",event
處理工程師為 C人員 進行時間為 2025/12/30 13:30 至 2025/12/30 17:00,"maintenance, operation, inspection, calibration, downtime",event
Centos作業系統升級評估中,"upgrade, evaluation, stability, functionality, performance",event
本次維護報告內容如下： 1.授權用量：建議擴充 -授權量：150 GB -平均授權用量：661.01 GB,"maintenance, expansion, usage, recommendation",event
處理工程師為 C人員 進行時間為 2025/03/28 09:00 至 2025/03/28 21:00,"maintenance, operation, upgrade, inspection, servicing",event
處置動作 (Action): 工作項目：到場確認異常原因，當日未確認原因。,"confirmation, anomaly, investigation, presence, verification",event
狀態描述 (Description): Splunk駐點服務202510第三周(2025/10/13),"service, presence, maintenance, support, monitoring",event
1. 更新geodb,"updating, maintenance, synchronization, database",event
2.系統日誌分析： 觀察資料品質儀表板、健康狀況檢查，整體無異常,"monitoring, analysis, quality, health, dashboard",event
處置動作 (Action): 作業系統弱點：CVE-2023-3567、CVE-2023-4133、CVE-2023-6932、CVE-2023-39198、CVE-2023-51043、CVE-2023-51779、CVE-2023- 5178,"vulnerabilities, exploits, security, weaknesses, risks",event
"A人员, C人员为B客户进行维护","service, maintenance, troubleshooting, support, inspection",event
停用F5VPN特定使用者連線的紀錄(sas)報表,"blocking, monitoring, restriction, logging, access",event
補產出ARP_table報表,"reporting, arp, table, network, dynamics",event
"處理工程師為 A人員, C人員進行時間為2025/12/19 13:30 至 2025/12/19 18:00","training, mentoring, duration, engineering, collaboration",event
處理工程師為 A人員 進行時間為 2025/12/12 13:30 至 2025/12/12 17:30,"maintenance, operation, inspection, calibration, scheduling",event
今日到場作業如下： 2.PA事件時間誤差： 目前做法為刪除判定事件時間為當下時間的設定，並加上事件時間只抓取事件前32個位元的範圍。,"time error, adjustment, event processing, currenttime, bit range",event
觀察資料品質儀表板、健康狀況檢查,"monitoring, checking, quality, health, dashboard",event
4.版本更新 : 建議更新 當前版本：9.3.3/2025.02.26 最新版本：10.0.2/2025.11.14 現行版本近期被掃出弱點，建議進行升版,"update, security, improvement, version, patch",event
處理工程師為 A人員 進行時間為 2025/12/04 10:00 至 2025/12/04 10:30,"maintenance, calibration, inspection, operation, servicing",event
處理工程師為 C人員 進行維護,"维护, 检修, 操作, 保障, 处理",event
處置動作 (Action): 1.授權用量：建議擴充 -授權量：285GB -平均授權用量：620.21GB,"expansion, authorization, usage, allocation",event
處理工程師為 A人員 進行時間為 2025/12/04 09:30 至 2025/12/04 10:00,"maintenance, inspection, calibration, operation, scheduling",event
目前分析為以下三個原因導致 estreamer 資料暴增 audit.log 持續累積（FCB147 的 keep_logs 設定導致永不刪除） /var/log/messages-20251214 單一檔案達 148GB,"log, accumulation, storage, configuration, overflow",event
主機異常處理 MG02磁碟用量超過90% -> 刪除過去備份及安裝檔，已降至85%,"disk usage, backup, installation, optimization, space freeing",event
工作內容如下 1. 協助新增寄信套件 2. 完成寄信測試,"testing, collaboration, email, functionality, verification",event
今日發現checkpoint資料收容有約40min延遲 確認原因為該UF已達到預設輸出上限 (256kb/s),"delay, confirmation, limit, checkpoint",event
Gitlab漏洞修補從18.5.4到18.5.5,"patching, update, security, maintenance, release",event
再麻煩複掃確認。,"confirmation, recheck, verification",event
處理工程師更新GeoDB,"updating, maintenance, database, engineering, processing",event
提出系统优化建议无,"suggestion, optimization, submission",event
将PA每月报表触发的默认发送套件改为客制发送套件,"customization, reporting, automation, notification, modification",event
FISAC資料收容-進行中,"storing, handling, managing, data, operation",event
本日駐點工作內容如下： B部門 2.SH KVstore引擎異常測試-進行中 正在個人的測試環境測試SH 的KVstore狀態中。,"testing, anomaly, development, verification, operation",event
維護紀錄被記載,"recording, documentation, preservation",event
在个人测试环境中测试SH的KVstore状态中,"testing, evaluation, verification, environment, state",event
处置动作包括更新geodb,"updating, handling, disposition, geolocation, management",event
A部門 2.FISAC資料收容-進行中 目前已請james 向FISAC提交需使用API的IP申請單。,"submission, approval, documentation, api, security",event
audit.log处理 手动删除 audit 资料（释放空间）目前还没有设定排程删除持续观察中 messages 暴增处理 删除 148GB 的 messages-20251214 文件（立即释放空间）,"space, deletion, log, management, monitoring",event
工作项目包括调整HTTP对外大量传输资料报表以新增需监控之url,"monitoring, adjustment, reporting, url, transmission",event
今日工作項目如下：,"tasks, work, assignments",event
狀態描述 (Description): splunk_B客戶B部門11月月維護,"maintenance, inspection, upkeep, troubleshooting, servicing",event
A部門 Splunk使用者權限調整,"access, adjustment, privilege, security, administration",event
無系統優化建議,"空旷, 追逐, 隠蔽",event
确认Identity的优先级,"priority, verification, authentication, confirmation",event
状 态描述 (Description): E客户驻点工作事項 - 20251114,"work, presence, collaboration, support, operation",event
今日發現自12/9左右開始FWD02的CPU用量明顯上升且已持續兩周，同時磁碟用量也達到90%，其中estreamer資料占用約109G,"cpu usage, disk usage, data storage, monitoring, increase",event
處理工程師為 B人員 進行時間為 2026/01/02 17:33 至 2026/01/02 17:35。,"维护, 时间, 操作",event
本次維護報告內容如下： 2.伺服器效能：正常,"maintenance, performance, normal, update",event
目前处理方式 estreamer 虚处 理 移除 rsyslog 转送设定（减少资料流入）,"removal, processing, configuration, redirection, streamlining",event
Websebse log 異常截斷 Raw data內就有換行字元，導致異常截斷,"data issue, newline, logging, error, truncation",event
刪除判定事件時間為當下時間的設定,"present, deletion, judgment, setting",event
3.系統優化建議：無,"system, optimization, recommendation",event
已將過期憑證移除並重新產生新憑證(有效期至2028/11)，確認kvstore 狀態為正常,"certification, renewal, validation, expiration, kvstore, normalization",event
設定檔備份腳本異常問題被解決,"bug, backup, resolution, script, normality",event
进行时间从 2025/10/30 13:30 至 2025/10/30 17:00 的维护,"maintenance, update, service, upgrade",event
代辦事項： 4.Tenable API App串接,"integration, connection, api, automation, collaboration",event
處置動作 (Action): 1.設備狀態檢查： 觀察月報CPU、Memory使用率皆無超過90%，整體正常,"monitoring, checking, normal operation, maintenance, status",event
狀態描述: (ZTA) Splunk 2025 MA 12月定保.DM20250088_(8/12),"maintenance, inspection, update, security, calibration",event
狀態描述 (Description): Splunk駐點服務202512第五周(2025/12/30),"service, monitoring, support, deployment, maintenance",event
确认kvstore状态为正常,"checking, confirmation, normality, status, verification",event
A部門 的帳號盤點清單被確認,"confirmation, inventory, verification",event
B部門 向FISAC提交需使用API的IP申請單,"submission, api, authorization, application, approval",event
3. 系統優化建議 - 皆正常，無需調整,"normal, optimization, system, adjustment",event
C人員進行維護紀錄的時間為2025/12/23 09:00 至 2025/12/23 18:00,"maintenance, documentation, update, recording, schedule",event
版本更新建議先擴充授權使用量，再進行版本升級,"expansion, authorization, upgrade, suggestion, licensing",event
問題：有101台UF已超過15分鐘未與indexer連線 建議：已在轉送器監視設定中更新uf清單，並於更新後讓uf重新報到。,"monitoring, update, reconnection, timeout, synchronization",event
處理工程師為A人員進行維護紀錄,"maintenance, documentation, repair, recording, servicing",event
FWD03備份異常 -> 原因為FCB設定導致備份目的路徑權限限縮，導致無法備份，已復原權限並手動執行備份,"permission, backup, restore, failure, configuration",event
狀態描述 (Description): splunk_銀行處11月月維護,"maintenance, update, security, calibration, synchronization",event
目前處理方式 estreamer 處理 移除 rsyslog 轉送設定（減少資料流入）,"removal, reduction, configuration, streamlining, handling",event
DEP02移轉預計下周進行,"transfer, planning, relocation, expectation",event
工作時間為2025/12/04 13:30 至 2025/12/04 17:00,"working hours, timeframe, session",event
問題：新增UDP接收來自172.20.137.45的asa事件，於搜尋頁面上卻查詢不到該IP事件,"networking, search, event, visibility, monitoring",event
messages 暴增處理 刪除 148GB 的 messages-20251214 檔案（立即釋放空間）,"deletion, storage, cleanup, archive, spaceudging",event
E客戶駐點工作事項 - 20251218,"work, meeting, coordination, support, inspection",event
預計下周一會再次到場確認目前狀況並持續追蹤原廠協助。,"confirmation, tracking, follow-up",event
Splunk整体架构IP调整完成,"architecture, adjustment, completion",event
處置動作 (Action): 今日工作項目如下：,"tasks, work, assignment, duty, schedule",event
3.2025弱點掃描報告資訊整理,"information, scanning, organizing, vulnerability, report",event
狀態描述 (Description): Splunk Indexer queue full - 20251211,"queue full, indexing, logshipping, backlog, overflow",event
报告及告警寄件人更新将原寄给Ryan之报告及告警改为了Calvin并新增Splunk登入账号未来包含ES结案等通知皆由Calvin做审核与结案,"update, notification, review, authorization, transition",event
Splunk套件升級-完成 已部屬新套件至各SH上。,"upgrade, deployment, completion, integration, update",event
PA報表寄信異常-未完成 已補跑報告並寄送郵件,"reporting, correspondence, validation, submission, documentation",event
狀態描述 (Description): Splunk 版本升級 9.3.1 -> 9.3.3,"upgrade, version, software, update",event
暫時認定原因為bucket replication造成,"replication, bucket, synchronization, configuration, error",event
處置動作 (Action): 4.版本更新：建議先擴充授權使用量，再進行版本升級 -當前版本：8.0.6 / 2024.10.22 -最新版本：10.0.1 / 2025.09.25,"updating, expanding, authorization",event
B部門 1.FISAC資料收容-進行中 目前已請james 向FISAC提交需使用API的IP申請單。,"submission, approval, documentation, api access, processing",event
SPLUNK月报寄送,"reporting, sending, monthly, analysis, updates",event
處理工程師為 B人員 進行時間為 2025/10/13 13:30 至 2025/10/13 17:30。,"maintenance, operation, inspection, calibration, schedule",event
LDAP设置已完成Splunk LDAP验证设置,"configuration, authentication, integration, setup, verification",event
資產新增報廢/營運中欄位,"update, maintenance, operation, depreciation, status",event
處置動作 (Action): 1.授權用量：建議擴充 -授權量：150 GB -平均授權用量：661.01 GB,"expansion, authorization, storage, increment, allocation",event
處理工程師為A人員進行維護,"maintenance, inspection, troubleshooting, servicing, repair",event
A部門 1.Splunk 使用者權限調整 調整es_admin_user 使用者權限。 調整ess_analyst 腳色權限，以供廠商進行例行維護或問題解決登入使用,"permissions, access, maintenance, authentication, authorization",event
"處理工程師為 A人員,C人員 進行時間為 2025/12/31 13:30 至 2025/12/31 17:40","training, calibration, maintenance, operation, certification",event
本周工作项目包括更新GeoDB并调整HTTPS大量传输告警,"updates, adjustments, database, security, transmission",event
状态描述 (Description): E客户驻点工作事項 - 20251114,"work, task, operation, assignment, duty",event
Splunk套件升级完成,"upgrade, completion, update, installation",event
狀態描述 (Description): E客戶Splunk駐點 - 20251230 處置動作 (Action): 今日工作項目如下：,"deployment, installation, maintenance, monitoring, configuration",event
自動化封鎖清單異動儀表板建置 (進行中),"updating, automation, monitoring, maintenance, construction",event
狀態描述: Splunk 2025 MA 07月定保.DM20250088_(3/12),"maintenance, inspection, service, update, calibration",event
處理工程師整理2025弱點掃描報告資訊,"analysis, compilation, vulnerability, engineering, documentation",event
手动重启DLDK容器,"restarting, container, maintenance, update",event
處理工程師為B人員進行維護,"maintenance, training, engineering, support, operation",event
后续将进底层查看缺少设备的原因。,"inspection, investigation, troubleshooting, missing equipment, bottom level",event
處理工程師為 A人員 進行時間為 2025/11/06 11:00 至 2025/11/06 12:00。,"maintenance, inspection, calibration, operation, servicing",event
處理工程師為C人員進行維護紀錄,"maintenance, documentation, inspection, repair, recording",event
DEP02 (IP)移转(下周进行),"transfer, relocation, ip, next week",event
Cybereyes介接套件建置,"installation, integration, connectivity, technology, interface",event
今日早上接到您緊急報修，隨即到場進行調查,"repair, urgency, investigation, maintenance, troubleshooting",event
處理工程師為 C人員 進行時間為 2025/07/29 13:30 至 2025/07/29 17:00。,"maintenance, operation, calibration, inspection, scheduling",event
本日駐點工作內容如下： A部門 1.Splunk 使用者權限調整 調整es_admin_user 使用者權限。 調整ess_analyst 腳色權限，以供廠商進行例行維護或問題解決登入使用,"adjustment, authorization, maintenance, access, configuration",event
狀態描述 (Description): Splunk 2025 MA 07月定保.DM20250088_(3/12),"maintenance, inspection, calibration, update, servicing",event
處理工程師為 B人員 進行時間為 2025/12/23 13:30 至 2025/12/23 17:30,"training, maintenance, operation, guidance, calibration",event
E客戶駐點工作事項 - 20251223 處置動作 (Action),"placement, action, deployment, positioning",event
服务器效能正常,"normal operation, stability, efficiency",event
狀態描述 (Description): E客戶Splunk駐點 - 20251230 處置動作 (Action): 授權用量：建議擴充 -授權量：150 GB -平均授權用量：661.01 GB,"授权, 扩展, 建议, 用量",event
待办事项包括告警盘点,"alarms, inventory, tasks, checking, alerts",event
VMware Tools漏洞修補,"patch, vulnerability, update, security, fix",event
待办事项包括SSH Server漏洞修补,"vulnerability, patching, tasks, security, ssh",event
4.<DNS_TUNNELING_單一來源查詢不同網域數量與DNS查詢次數超標>告警調整 查詢不同網域數量閥值由200改為300 統計區間由三分鐘改為五分鐘內,"alert, adjustment, threshold, 统计, interval",event
帳號盤點清單確認,"checking, confirmation, inventory, verification, reconciliation",event
离开前资料备份的同步已经完成,"backup, synchronization, completion, 准备工作, 离开准备",event
B部門 2.SH KVstore引擎異常測試-進行中,"testing, anomaly, performance, evaluation, stability",event
查出pice_logs缺少檔案的原因,"checking, missing, files, troubleshooting, reason",event
本周工作项目如下：1 更新geodb 2.Heavy Forwarder磁碟用量调查发现昨日该台主机磁碟用量暴增同时发现该台主机KV store凭证过期今日已更新凭证目前KV store状态及磁碟用量皆为正常,"updating, investigation, maintenance, normalcy, storage",event
嘗試修改props.conf，調整截斷規則，離開前未解決，下次到場時處理,"configuring, truncation, unresolved, next meeting",event
狀態描述 (Description): 資料平衡確認與未連接license master解決,"balancing, resolving, confirmation, connection, licensing",event
處置動作 (Action): 4.版本更新：暫不更新 -當前版本：9.3.6/2025.07.31 -最新版本：10.0.2/2025.11.14,"update, version, maintenance, release, upgrade",event
3.系統參數檢查 設備參數無異常(DNS server、NTP server、LDAP setting),"checking, parameters, normal, configuration, validation",event
A部門 Splunk整體架構IP調整-完成,"configuration, completion, adjustment, networking",event
發現昨日(11/3)該台主機磁碟用量暴增,"storage, increase, usage, discovery, alert",event
待辦事項: 1. 告警盤點 (預計下周開始),"alarm, inventory, safety, inspection, scheduling",event
本次維護報告內容如下： 4.版本更新：現行版本近期被掃出弱點，建議進行升版 -當前版本：9.3.8 / 2025.11.14 -最新版本：10.0.2 / 2025.11.14,"update, maintenance, security, upgrade, patching",event
狀態描述 (Description): E客戶駐點工作事項 - 20251111,"work, inspection, maintenance, support, documentation",event
處理工程師為 A人員 進行時間為 2025/11/19 13:30 至 2025/11/19 14:30。,"maintenance, inspection, procedure, engineering, operation",event
本日駐點工作內容如下： A部門 1.帳號盤點清單確認 已完成帳號盤點並寄送報表給Hank,"accounting, verification, completion, reporting",event
设置未明确定义优先级的identity为low,"priority, low, identity",event
工作事項： IDX01重新加入後，因同步資料導致IDX02與IDX03滿載,"sync issues, overload, synchronization, data conflict",event
代辦事項：6.BTDC2问题处理,"handling, resolution, troubleshooting, management, addressing",event
版本更新：現行版本近期被掃出弱點，建議進行升版 -當前版本：9.3.3 / 2025.02.26 -最新版本：10.0.0 / 2025.07.28,"upgrade, security, improvement, patch, enhancement",event
新增indexer至IDX cluster節點，目前將觀察index同步狀態。,"adding, synchronization, indexing, node, cluster",event
當前版本為9.3.3/2025.02.26,"version, update, release",event
建议进行版本更新至10.0.1,"update, version, improvement",event
完成 NTP服务检查,"checking, service, validation, completion, verification",event
在 2025/11/07 15:00 至 2025/11/07 17:00 時間段內，C人員為 B客戶 的維護工作,"maintenance, repair, service, troubleshooting, inspection",event
申請底層1.Disable splunk自動version check2.CEF outputs套件調整送出格式甲、將換行字元取代成空格乙、最尾端新增一個空格3.調整IIS LOG拋送目的,"configuration, adjustment, formatting, logging, automation",event
n8n無法連線至splunk問題正在排查,"connection, issue, troubleshooting, integration, failure",event
处理工程师为C人员进行时间从2025/11/24 09:00 至 2025/11/24 17:30。,"handling, maintenance, support, consultation, troubleshooting",event
E客戶駐點工作事項 - 20251209 狀態描述,"customer support, presence, work, interaction, service",event
已將PA每月報表觸發的預設寄件套件改為客製寄件套件，該客製套件可於觸發動作後於index=cim_modactions查看郵件寄送狀態，以利問題排查,"customization, automation, monitoring, reporting, troubleshooting",event
建議擴充 -授權量 : 375 GB -平均授權使用量 : 1276GB,"licensing, usage, data, permission, allocation",event
代辦事項： IP網段設備報表確認,"confirmation, verification, equipment, network, segment",event
檢查B部門indexer索引同步狀態,"inspection, synchronization, status, verification, update",event
原先版本受到漏洞CVE-2025-6454、CVE-2025-2256影響,"vulnerability, impact, exploit, security, patch",event
狀態描述為 Splunk Indexer queue full -20251215,"queue full, indexing, log, data, overflow",event
處置動作 (Action): 1.授權用量：建議擴充 -授權量：285GB -平均授權用量：239.38GB,"expansion, authorization, usage, increase, allocation",event
處理工程師為 C人員 進行時間為 2025/12/15 09:00 至 2025/12/15 18:00。,"maintenance, operation, inspection, downtime, calibration",event
處理工程師為 C人員 進行時間為 2025/12/12 09:00 至 2025/12/12 18:00。,"maintenance, operation, calibration, inspection, downtime",event
B人員於2026/01/19 13:30至2026/01/19 17:30進行維護工作,"maintenance, repair, service, upgrade",event
DEP02移轉後服務確認 已確認服務正確，並再次執行健康檢查確認系統功能正常。,"confirmation, verification, inspection, functionality, health检查",event
已確認SPLUNK可正常登入使用、KVSTORE 狀態正常,"login, verification, functionality, database, confirmation",event
處置動作 (Action): 本周工作項目如下,"planning, tasks, schedule, work, assignments",event
B部門 1.FISAC資料收容-進行中 目前已請B同事 向FISAC提交需使用API的IP申請單。,"submission, approval, documentation, api, security",event
針對UAT / Production / PIMS 共8台進行調整,"adjustment, maintenance, configuration, optimization, testing",event
已在172.18.44.33(DEP02)主機上新增使用者sailag，並套用先前信件附件中的權限設定。,"adding, user, permissions",event
FWD02 CPU及磁碟用量異常,"abnormal, usage, anomaly, disk, cpu",event
Splunk驻点服务202510第四周(2025/10/20)进行中,"service, maintenance, operation, support, running",event
處置動作 (Action): 3.系統優化建議：有10台UF超出預設傳輸上限，已派送套件完成調整,"optimization, adjustment, exceed, distribution, configuration",event
B人員 在 2025/12/02 進行維護工作,"maintenance, inspection, service, operation",event
處置動作 (Action): 4.版本更新：現行版本近期被掃出弱點，建議進行升版 -當前版本：9.3.8 / 2025.11.14 -最新版本：10.0.2 / 2025.11.14,"update, upgrade, security, version, patch",event
進行維護紀錄,"maintenance, documentation, update, inspection",event
1.VMware Tools 漏洞修補 為修補漏洞CVE-2025-41244、CVE-2025-41246，以按照提供之SOP更新至12.3.5版本,"update, vulnerability, security, patching, version",event
未出现在 DC_ARP_table 中的设备已用橘底标示，在请您确认。,"unidentified, warning, alert, marking, validation",event
Splunk每週onsite 處置動作,"installation, deployment, monitoring, analysis, 事件部署",event
更新全部主機之KV store憑證,"updating, certification, maintenance, security, synchronization",event
Centos作業系統升級(評估中),"upgrade, assessment, stability, compatibility, optimization",event
執行 工作事項： IDX01重新加入後，因同步資料導致IDX02與IDX03滿載,"syncing, overflow, synchronization, dataynchronization, backlog",event
因admin角色的能力需高于es_admin_user角色，所以已删除es_admin_user继承admin能力的选项，同时删除es_admin_user的可删除索引能力以区分权限高低,"privilege, deletion, administration, indexing, authorization",event
處理工程師為 B人員 進行時間為 2026/01/05 13:30 至 2026/01/05 17:30,"maintenance, operation, inspection, calibration, adjustment",event
已更新全部主机之KV store凭证(效期至：2028/11),"updating, credential, expiration, maintenance, security",event
PA 每月Block Category報表在重新執行排程時會出現error，將於下周到場繼續處理,"errors, maintenance, scheduling, execution, correction",event
伺服器效能正常,"normal operation, stability, efficiency",event
網頁憑證期限更新至2027/12月,"certificate, expiration, security, renewal, validation",event
Splunk升版，從9.3.3升版至9.3.8，再麻煩您申請弱點復掃,"upgrade, vulnerability, scan, update, security",event
A人員進行了F客戶的維護工作,"maintenance, service, inspection, repair, support",event
正在個人的測試環境測試SH 的KVstore狀態中。,"testing, stability, evaluation, functionality, performance",event
检查服务器效能正常,"monitoring, performance, normality, checking, efficiency",event
每月Block Category報表在重新執行排程時會出現error,"error, scheduling, execution, monthly, report",event
Splunk駐點服務202601第三週(2026/1/19)進行狀態描述,"status, description, monitoring, service, operation",event
狀態描述 (Description): splunk_銀行處12月月維護,"maintenance, update, security, stability, operation",event
Splunk駐點服務202512第五周(2025/12/30),"service, support, maintenance, inspection, operation",event
1.更新GeoDB,"updating, database, synchronization, information, geography",event
處理工程師為 B人員 進行時間為 2025/12/30 13:30 至 2025/12/30 17:30。,"training, maintenance, calibration, operation, inspection",event
B部门进行FISAC资料收容-进行中,"management, organizing, containment, documentation, process",event
Splunk LDAP驗證設定 已完成splunk LDAP驗證設定,"configuration, authentication, setup, integration, validation",event
工作项目：修改SASE VPN登入成功报表条件,"conditions, reporting, security, authentication, modification",event
狀態描述 (Description): Splunk駐點服務202601第二周(2026/1/13),"service, support, maintenance, monitoring",event
持續進行中 資料大小平衡,"balancing, 持续, progress",event
3.<F5VPN特定使用者連線的紀錄(ssp)>調整 根據需求將”數位科技中心”之紀錄獨立出來，拆分為以下兩個報告 <F5VPN特定使用者連線的紀錄(ssp) 不含數位科技中心> <F5VPN特定使用者連線的紀錄(ssp) 僅數位科技中心>,"adjustment, separation, reporting, filtration, documentation",event
修改splunk設定以監控相似log,"configuring, monitoring, logging, settings, alerts",event
本周工作項目如下: 1.更新GeoDB 2.Gitlab漏洞修補 18.5.4 -> 18.5.5 為修補漏洞已將Gitlab升級至建議版本,"update, upgrade, vulnerability, maintenance, project",event
狀態描述 (Description): E客戶駐點工作事項 - 20251124,"work, presence, inspection, maintenance, coordination",event
處理工程師為 C人員 進行時間為 2025/11/25 09:30 至 2025/11/25 14:00,"维护, 检修, 工期, 工程师, 设备",event
處理工程師進行維修工作,"维修, 工作, 故障, 检查, 修复",event
Splunk月報寄送,"reporting, automation, notification, delivery",event
